"","Name","Notes","team"
"59","Marcus Stoinis","Overseas","DC"
"60","Lalit Yadav","","DC"
"61","Rishabh Pant","","DC"
"62","Alex Carey","Overseas","DC"
"63","Sandeep Lamichhane","Overseas","DC"
"64","Avesh Khan","","DC"
"65","Kagiso Rabada","Overseas","DC"
"66","Ishant Sharma","","DC"
"67","Amit Mishra","","DC"
"68","Ravichandran Ashwin","","DC"
"69","Mohit Sharma","","DC"
"70","Tushar Deshpande","","DC"
"71","Manish Pandey","","SRH"
"72","Kane Williamson","Captain, Overseas","SRH"
"73","David Warner","Overseas","SRH"
"74","Virat Singh","","SRH"
"75","Priyam Garg","","SRH"
"76","Mohammad Nabi","Overseas","SRH"
"77","Abhishek Sharma","","SRH"
"78","Vijay Shankar","","SRH"
"79","Mitchell Marsh","Overseas","SRH"
"80","Bavanaka Sandeep","","SRH"
"81","Fabian Allen","Overseas","SRH"
"82","Abdul Samad","","SRH"
"83","Sanjay Yadav","","SRH"
"84","Shreevats Goswami","","SRH"
"85","Wriddhiman Saha","","SRH"
"86","Jonny Bairstow","Overseas","SRH"
"87","Shahbaz Nadeem","","SRH"
"88","Siddarth Kaul","","SRH"
"89","Bhuvneshwar Kumar","","SRH"
"90","Rashid Khan","Overseas","SRH"
"91","Khaleel Ahmed","","SRH"
"92","Basil Thampi","","SRH"
"93","Billy Stanlake","Overseas","SRH"
"94","Thangarasu Natarajan","","SRH"
"95","Sandeep Sharma","","SRH"
"96","Shikhar Dhawan","","KXIP"
"97","Shreyas Iyer","Captain","KXIP"
"98","Prithvi Shaw","","KXIP"
"99","Ajinkya Rahane","","KXIP"
"100","Jason Roy","Overseas","KXIP"
"101","Shimron Hetmyer","Overseas","KXIP"
"102","Harshal Patel","","KXIP"
"103","Axar Patel","","KXIP"
"104","Keemo Paul","Overseas","KXIP"
"105","Chris Woakes","Overseas","KXIP"
"106","Marcus Stoinis","Overseas","KXIP"
"107","Lalit Yadav","","KXIP"
"108","Rishabh Pant","","KXIP"
"109","Alex Carey","Overseas","KXIP"
"110","Sandeep Lamichhane","Overseas","KXIP"
"111","Avesh Khan","","KXIP"
"112","Kagiso Rabada","Overseas","KXIP"
"113","Ishant Sharma","","KXIP"
"114","Amit Mishra","","KXIP"
"115","Ravichandran Ashwin","","KXIP"
"116","Mohit Sharma","","KXIP"
"117","Tushar Deshpande","","KXIP"
"118","Manan Vohra","","RR"
"119","Shashank Singh","","RR"
"120","Steve Smith","Overseas; Captain","RR"
"121","David Miller","Overseas","RR"
"122","Riyan Parag","","RR"
"123","Mahipal Lomror","","RR"
"124","Shreyas Gopal","","RR"
"125","Ben Stokes","Overseas","RR"
"126","Rahul Tewatia","","RR"
"127","Yashasvi Jaiswal","","RR"
"128","Aniruddha Joshi","","RR"
"129","Sanju Samson","","RR"
"130","Jos Buttler","Overseas","RR"
"131","Robin Uthappa","","RR"
"132","Anuj Rawat","","RR"
"133","Jofra Archer","Overseas","RR"
"134","Jaydev Unadkat","","RR"
"135","Varun Aaron","","RR"
"136","Andrew Tye","Overseas","RR"
"137","Tom Curran","Overseas","RR"
"138","Oshane Thomas","Overseas","RR"
"139","Ankit Rajpoot","","RR"
"140","Akash Singh","","RR"
"141","Kartik Tyagi","","RR"
"142","Mayank Markande","","RR"
"143","AB de Villiers","Overseas, Vice-captain","RCB"
"144","Virat Kohli","Captain","RCB"
"145","Gurkeerat Singh","Occasional wicket-keeper","RCB"
"146","Devdutt Padikkal","","RCB"
"147","Aaron Finch","Overseas","RCB"
"148","Shivam Dube","","RCB"
"149","Moeen Ali","Overseas","RCB"
"150","Pawan Negi","","RCB"
"151","Washington Sundar","","RCB"
"152","Chris Morris","Overseas","RCB"
"153","Pavan Deshpande","","RCB"
"154","Parthiv Patel","","RCB"
"155","Josh Philippe","","RCB"
"156","Yuzvendra Chahal","","RCB"
"157","Mohammed Siraj","","RCB"
"158","Umesh Yadav","","RCB"
"159","Navdeep Saini","","RCB"
"160","Kane Richardson","Overseas","RCB"
"161","Dale Steyn","Overseas","RCB"
"162","Shahbaz Nadeem","","RCB"
"163","Isuru Udana","Overseas","RCB"
"164","Nitish Rana","","KKR"
"165","Rinku Singh","","KKR"
"166","Shubman Gill","","KKR"
"167","Eoin Morgan","Overseas","KKR"
"168","Siddhesh Lad","","KKR"
"169","Rahul Tripathi","","KKR"
"170","Andre Russell","Overseas","KKR"
"171","Sunil Narine","Overseas","KKR"
"172","Kamlesh Nagarkoti","","KKR"
"173","Chris Green","Overseas","KKR"
"174","Dinesh Karthik","Captain","KKR"
"175","Tom Banton","Overseas","KKR"
"176","Nikhil Naik","","KKR"
"177","Harry Gurney","Overseas","KKR"
"178","Kuldeep Yadav","","KKR"
"179","Shivam Mavi","","KKR"
"180","Prasidh Krishna","","KKR"
"181","Sandeep Warrier","","KKR"
"182","Lockie Ferguson","Overseas","KKR"
"183","Pat Cummins","Overseas","KKR"
"184","Varun Chakravarthy","","KKR"
"185","Manimaran Siddharth","","KKR"
"186","Pravin Tambe","","KKR"
